CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2010-2,12,2013-1,57,61,7529.109999999992,1888.7400000000005
2010-2,13,2013-2,63,70,7500.079999999996,2014.6399999999999
2010-2,14,2013-3,52,58,9830.279999999995,2222.8399999999997
2010-2,15,2013-4,42,45,5654.839999999997,801.0900000000001
2010-2,16,2014-1,32,34,4651.919999999997,701.7600000000001
2010-2,17,2014-2,50,57,7125.989999999995,1757.5399999999997
2010-2,18,2014-3,50,53,5857.319999999994,1874.5900000000001
2010-2,19,2014-4,27,29,2641.9,595.9600000000002
2010-2,20,2015-1,25,29,3670.3899999999985,922.1700000000002
2010-2,21,2015-2,32,37,4225.339999999998,861.3500000000003
2010-2,22,2015-3,38,42,6131.549999999996,1253.1000000000001
2010-2,23,2015-4,16,19,2529.6299999999997,483.02
2010-2,24,2016-1,28,31,3340.7999999999993,835.2500000000001
2010-2,25,2016-2,27,29,3698.29,1117.44
2010-2,26,2016-3,24,26,3201.5499999999997,817.6600000000001
2010-2,27,2016-4,28,29,3548.539999999999,711.4899999999999
2010-2,28,2017-1,21,23,3526.4199999999996,798.64
2010-2,29,2017-2,19,22,2783.2599999999993,750.5600000000001
2010-2,30,2017-3,2,2,136.94,1.5299999999999994
2010-3,1,2010-3,2326,2871,406301.42000000965,80100.87000000013
2010-3,2,2010-4,334,348,41762.71999999998,9864.820000000002
2010-3,3,2011-1,158,168,18995.98000000003,4533.22
2010-3,4,2011-2,175,189,25955.68000000008,4938.300000000001
2010-3,5,2011-3,191,211,26548.87000000009,6657.749999999994
2010-3,6,2011-4,194,206,25242.580000000075,5059.480000000002
2010-3,7,2012-1,150,164,17534.040000000026,4064.0200000000004
2010-3,8,2012-2,152,161,25835.780000000053,5442.349999999998
2010-3,9,2012-3,141,150,14863.260000000022,3725.69
2010-3,10,2012-4,103,108,12266.380000000006,3089.0699999999993
2010-3,11,2013-1,83,87,8380.14999999999,2415.93
2010-3,12,2013-2,73,77,10265.620000000003,2149.7499999999995
2010-3,13,2013-3,69,75,8182.069999999992,1834.0600000000004
2010-3,14,2013-4,53,54,8745.029999999997,1813.9900000000007
2010-3,15,2014-1,44,48,6132.309999999998,1684.1599999999999
2010-3,16,2014-2,52,57,7569.869999999994,2047.39
2010-3,17,2014-3,62,66,9975.22,2459.1099999999997
2010-3,18,2014-4,44,48,6172.7199999999975,1491.6000000000001
2010-3,19,2015-1,30,30,4873.209999999998,1234.1800000000003
2010-3,20,2015-2,46,50,9218.849999999999,2345.1699999999996
2010-3,21,2015-3,52,59,6249.979999999993,1940.1699999999987
2010-3,22,2015-4,43,47,5899.299999999996,1110.8999999999999
2010-3,23,2016-1,32,35,2344.37,616.1099999999999
2010-3,24,2016-2,34,40,5364.899999999999,1236.72
2010-3,25,2016-3,29,32,5403.739999999997,1378.6999999999998
2010-3,26,2016-4,28,34,4307.709999999999,986.31
2010-3,27,2017-1,22,23,3281.7300000000005,557.9399999999999
