CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2010-4,4,2011-3,29,29,2909.939999999999,847.66
2010-4,5,2011-4,34,34,3163.47,1252.56
2010-4,6,2012-1,23,24,1503.6900000000005,686.43
2010-4,7,2012-2,34,36,2512.7899999999995,688.1800000000002
2010-4,8,2012-3,24,28,2020.240000000001,675.37
2010-4,9,2012-4,18,22,2303.980000000001,609.2700000000001
2010-4,10,2013-1,18,19,1419.8000000000004,398.28999999999996
2010-4,11,2013-2,20,21,1926.94,457.29
2010-4,12,2013-3,22,24,2672.6199999999994,793.1299999999999
2010-4,13,2013-4,21,23,3269.9299999999994,1121.6499999999999
2010-4,14,2014-1,9,10,2353.04,721.88
2010-4,15,2014-2,4,4,276.8,79.50999999999999
2010-4,16,2014-3,12,14,1262.5400000000002,336.88999999999993
2010-4,17,2014-4,14,18,2141.5900000000006,546.92
2010-4,18,2015-1,8,9,557.69,176.06999999999996
2010-4,19,2015-2,10,10,1560.3800000000003,472.87
2010-4,20,2015-3,8,9,838.44,306.38
2010-4,21,2015-4,9,10,968.0400000000001,220.52000000000004
2010-4,22,2016-1,3,3,493.65999999999997,109.44
2010-4,23,2016-2,5,6,381.69,155.76999999999998
2010-4,24,2016-3,5,5,542.7,134.44
2010-4,25,2016-4,7,10,789.4500000000003,204.0
2010-4,26,2017-1,6,8,505.5899999999999,156.69
2010-4,27,2017-2,6,7,528.58,197.95000000000002
2010-4,28,2017-3,1,1,44.95,9.84
2011-1,1,2011-1,336,394,27151.64000000012,9685.81999999999
2011-1,2,2011-2,11,11,786.3899999999999,205.90999999999994
2011-1,3,2011-3,21,21,1667.4100000000005,637.39
2011-1,4,2011-4,30,31,2285.64,761.6600000000001
2011-1,5,2012-1,35,37,3433.419999999999,1088.29
2011-1,6,2012-2,22,23,1453.8800000000003,467.22
2011-1,7,2012-3,21,21,1185.5300000000007,405.88999999999993
2011-1,8,2012-4,23,24,1503.6000000000006,604.63
2011-1,9,2013-1,27,31,2119.8000000000006,898.36
2011-1,10,2013-2,20,20,886.0000000000002,312.75
2011-1,11,2013-3,18,19,1165.4700000000003,363.57000000000005
2011-1,12,2013-4,16,16,1306.2000000000003,365.07
2011-1,13,2014-1,16,16,916.1000000000001,430.38000000000005
2011-1,14,2014-2,9,9,726.55,221.23999999999998
2011-1,15,2014-3,16,16,1302.6500000000003,437.8299999999999
2011-1,16,2014-4,12,13,1504.2000000000003,345.89
2011-1,17,2015-1,8,8,763.4000000000001,285.30999999999995
2011-1,18,2015-2,10,11,1145.04,316.96000000000004
2011-1,19,2015-3,7,7,231.79000000000002,78.85
2011-1,20,2015-4,6,6,408.74999999999994,147.34
2011-1,21,2016-1,9,11,782.9800000000001,312.27
2011-1,22,2016-2,4,5,271.8,51.400000000000006
2011-1,23,2016-3,5,5,591.75,173.15
2011-1,24,2016-4,4,4,195.8,45.650000000000006
2011-1,25,2017-1,5,5,738.6000000000001,169.66000000000003
2011-1,26,2017-2,7,7,448.59999999999997,153.95
2011-2,1,2011-2,476,554,52296.00999999971,15879.539999999999
2011-2,2,2011-3,44,47,6282.469999999996,1664.0300000000002
2011-2,3,2011-4,58,59,4743.849999999995,1416.8799999999994
2011-2,4,2012-1,48,50,4667.809999999998,1516.47
2011-2,5,2012-2,57,60,4823.9999999999945,1619.8700000000001
2011-2,6,2012-3,39,41,3538.249999999999,1006.9599999999999
2011-2,7,2012-4,41,41,2216.390000000001,773.86
2011-2,8,2013-1,35,37,2971.2799999999993,689.4700000000001
2011-2,9,2013-2,41,43,3005.199999999998,798.9200000000002
2011-2,10,2013-3,26,28,2004.1900000000007,616.5600000000001
2011-2,11,2013-4,28,32,4100.079999999999,1109.1599999999999
2011-2,12,2014-1,22,27,2433.4199999999996,657.5199999999999
2011-2,13,2014-2,18,19,1615.49,351.68999999999994
2011-2,14,2014-3,26,28,2822.4999999999995,584.9499999999998
2011-2,15,2014-4,19,21,1541.2800000000002,381.35999999999996
2011-2,16,2015-1,8,9,762.32,292.41
2011-2,17,2015-2,16,16,2154.05,734.35
2011-2,18,2015-3,10,10,609.5500000000001,165.22
2011-2,19,2015-4,19,21,2363.0299999999993,601.21
2011-2,20,2016-1,10,10,949.7400000000002,162.92
2011-2,21,2016-2,6,6,394.7,96.04
2011-2,22,2016-3,15,15,1091.4800000000002,295.71000000000004
2011-2,23,2016-4,13,13,804.3500000000003,232.19999999999993
2011-2,24,2017-1,9,9,349.64,109.45
