CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2013-4,3,2014-2,99,101,6393.3999999999905,2466.040000000001
2013-4,4,2014-3,91,99,5479.41999999999,2134.15
2014-1,1,2014-1,1050,1202,70933.79999999881,25172.10999999995
2014-1,2,2014-2,125,130,8540.539999999992,2979.6400000000003
2014-1,3,2014-3,84,86,4948.859999999994,2155.770000000001
2014-1,4,2014-4,120,125,9187.719999999988,3484.43
2014-2,1,2014-2,1144,1356,85560.53999999835,28810.619999999904
2014-2,2,2014-3,132,140,9129.869999999995,2826.2
2014-2,3,2014-4,136,147,10782.160000000003,4161.959999999999
2014-2,4,2015-1,112,117,7755.689999999985,2762.230000000001
2014-3,1,2014-3,1074,1308,77675.47999999857,28703.479999999894
2014-3,2,2014-4,86,90,6295.419999999991,1967.5299999999986
2014-3,3,2015-1,105,110,7312.999999999988,2700.4399999999987
2014-3,4,2015-2,132,140,10743.060000000001,4405.959999999997
2014-4,1,2014-4,1157,1383,94858.08999999803,31139.019999999953
2014-4,2,2015-1,144,153,11711.010000000007,4061.6600000000003
2014-4,3,2015-2,130,134,9856.310000000003,3427.7300000000005
2014-4,4,2015-3,157,164,11965.320000000016,4619.990000000001
2015-1,1,2015-1,1240,1450,105414.72999999778,34500.48999999994
2015-1,2,2015-2,140,146,8404.099999999986,3319.2999999999984
2015-1,3,2015-3,155,167,14158.59000000004,5916.679999999999
2015-1,4,2015-4,188,202,16702.920000000046,6505.830000000004
2015-2,1,2015-2,1055,1240,86869.09999999829,31529.249999999935
2015-2,2,2015-3,127,146,13273.070000000036,4594.7100000000055
2015-2,3,2015-4,141,156,15988.690000000053,5110.050000000001
2015-2,4,2016-1,137,142,10754.700000000004,3735.37
2015-3,1,2015-3,1325,1640,100961.19999999776,37951.97999999979
2015-3,2,2015-4,160,176,14458.72000000001,4716.839999999999
2015-3,3,2016-1,161,170,10870.910000000007,3389.7599999999993
2015-3,4,2016-2,210,217,13993.040000000045,4244.710000000004
2015-4,1,2015-4,983,1239,79291.65999999858,26102.749999999876
2015-4,2,2016-1,125,140,10106.000000000007,3703.5200000000004
2015-4,3,2016-2,127,136,9966.390000000003,3027.750000000002
2015-4,4,2016-3,178,189,11153.95000000002,3455.8599999999997
2016-1,1,2016-1,910,1096,75636.65999999872,25320.000000000124
2016-1,2,2016-2,116,126,12656.580000000036,4950.389999999999
2016-1,3,2016-3,167,178,13646.820000000027,4233.880000000005
2016-1,4,2016-4,196,210,13682.920000000036,3880.6800000000026
2016-2,1,2016-2,833,1053,61052.32999999919,18745.68000000002
2016-2,2,2016-3,154,158,10338.03000000001,3035.2500000000014
2016-2,3,2016-4,161,169,11722.490000000016,3318.4200000000046
2016-2,4,2017-1,163,166,10850.610000000011,2929.13
